iter	Passed	Remaining
270	1349	5039
271	1353	5032
272	1358	5027
273	1363	5021
274	1368	5017
275	1374	5013
276	1378	5007
277	1383	5002
278	1388	4995
279	1392	4988
280	1397	4984
281	1402	4976
282	1406	4971
283	1411	4964
284	1416	4961
285	1421	4956
286	1426	4950
287	1430	4943
288	1435	4936
289	1439	4930
290	1444	4925
291	1449	4920
292	1454	4913
293	1458	4907
294	1464	4903
295	1468	4897
296	1473	4892
297	1478	4887
298	1483	4881
299	1488	4877
300	1493	4871
301	1497	4864
302	1502	4858
303	1506	4852
304	1511	4847
305	1516	4841
306	1521	4835
307	1526	4830
308	1530	4824
309	1535	4818
310	1539	4812
311	1545	4809
312	1551	4807
313	1556	4802
314	1560	4795
315	1565	4790
316	1570	4786
317	1575	4780
318	1580	4776
319	1585	4772
320	1590	4766
321	1596	4763
322	1601	4759
323	1605	4752
324	1610	4748
325	1616	4743
326	1620	4738
327	1625	4733
328	1630	4728
329	1635	4723
330	1640	4717
331	1644	4712
332	1649	4704
333	1653	4698
334	1658	4693
335	1663	4688
336	1668	4683
337	1673	4677
338	1678	4673
339	1682	4666
340	1687	4661
341	1691	4654
342	1696	4650
343	1701	4643
344	1706	4639
345	1711	4634
346	1716	4630
347	1721	4624
348	1725	4618
349	1730	4611
350	1734	4605
351	1739	4601
352	1744	4596
353	1749	4590
354	1754	4585
355	1758	4579
356	1763	4573
357	1768	4570
358	1773	4565
359	1778	4560
360	1783	4554
361	1788	4549
362	1792	4543
363	1797	4538
364	1802	4532
365	1806	4526
366	1810	4519
367	1815	4515
368	1820	4510
369	1825	4505
370	1830	4499
371	1834	4492
372	1838	4486
373	1843	4479
374	1848	4474
375	1852	4468
376	1857	4464
377	1862	4459
378	1867	4454
379	1871	4448
380	1876	4442
381	1881	4438
382	1886	4433
383	1891	4427
384	1896	4422
385	1901	4417
386	1905	4412
387	1910	4406
388	1915	4401
389	1919	4395
390	1924	4390
391	1929	4385
392	1933	4379
393	1938	4372
394	1942	4367
395	1947	4363
396	1952	4356
397	1956	4350
398	1961	4344
399	1965	4339
400	1970	4333
401	1975	4328
402	1979	4322
403	1984	4317
404	1989	4312
405	1994	4307
406	1998	4302
407	2004	4297
408	2009	4293
409	2014	4289
410	2019	4284
411	2024	4279
412	2029	4275
413	2034	4270
414	2038	4264
415	2044	4261
416	2049	4256
417	2054	4251
418	2059	4246
419	2063	4240
420	2068	4235
421	2072	4228
422	2077	4223
423	2081	4218
424	2087	4213
425	2092	4209
426	2097	4203
427	2101	4197
428	2105	4191
429	2110	4185
430	2114	4180
431	2118	4174
432	2124	4170
433	2129	4164
434	2133	4159
435	2138	4154
436	2142	4148
437	2147	4142
438	2152	4137
439	2156	4132
440	2161	4127
441	2167	4123
442	2171	4118
443	2176	4112
444	2180	4106
445	2185	4101
446	2189	4095
447	2194	4089
448	2198	4084
449	2204	4079
450	2208	4074
451	2213	4068
452	2218	4063
453	2222	4058
454	2227	4053
455	2231	4047
456	2236	4041
457	2240	4036
458	2245	4031
459	2250	4026
460	2255	4022
461	2260	4017
462	2265	4012
463	2270	4007
464	2275	4002
465	2279	3996
466	2284	3991
467	2288	3985
468	2293	3979
469	2297	3974
470	2302	3968
471	2306	3963
472	2311	3958
473	2316	3953
474	2320	3947
475	2325	3942
476	2330	3937
477	2335	3932
478	2340	3927
479	2345	3923
480	2349	3917
481	2354	3912
482	2359	3907
483	2363	3901
484	2368	3896
485	2372	3891
486	2377	3885
487	2381	3880
488	2386	3874
489	2391	3870
490	2396	3865
491	2400	3860
492	2406	3855
493	2411	3852
494	2417	3847
495	2421	3842
496	2426	3837
497	2431	3832
498	2435	3827
499	2441	3823
500	2446	3818
501	2450	3812
502	2455	3808
503	2460	3802
504	2465	3797
505	2469	3792
506	2474	3787
507	2480	3783
508	2484	3777
509	2489	3772
510	2493	3767
511	2498	3762
512	2504	3758
513	2508	3753
514	2513	3747
515	2517	3742
516	2523	3738
517	2527	3733
518	2532	3727
519	2537	3723
520	2542	3718
521	2546	3713
522	2551	3707
523	2555	3702
524	2560	3696
525	2564	3691
526	2569	3685
527	2574	3680
528	2578	3675
529	2583	3670
530	2588	3665
531	2593	3660
532	2597	3655
533	2602	3649
534	2607	3645
535	2611	3639
536	2616	3634
537	2620	3628
538	2625	3623
539	2629	3618
540	2634	3612
541	2638	3607
542	2643	3602
543	2648	3597
544	2652	3591
545	2657	3586
546	2661	3581
547	2666	3575
548	2670	3570
549	2675	3566
550	2680	3560
551	2685	3555
552	2689	3550
553	2694	3545
554	2698	3540
555	2703	3534
556	2708	3529
557	2712	3524
558	2717	3519
559	2721	3513
560	2725	3508
561	2730	3502
562	2735	3497
563	2739	3492
564	2744	3487
565	2749	3482
566	2754	3478
567	2759	3473
568	2764	3468
569	2768	3463
570	2773	3458
571	2777	3452
572	2782	3447
573	2786	3442
574	2791	3437
575	2795	3431
576	2799	3425
577	2804	3420
578	2808	3414
579	2813	3409
580	2818	3405
581	2823	3400
582	2828	3395
583	2832	3390
584	2837	3385
585	2841	3380
586	2846	3375
587	2851	3370
588	2856	3365
589	2860	3360
590	2865	3355
591	2870	3350
592	2875	3345
593	2879	3340
594	2885	3335
595	2889	3330
596	2894	3326
597	2899	3321
598	2904	3316
599	2908	3310
600	2913	3305
601	2917	3300
602	2922	3295
603	2927	3290
604	2932	3286
605	2937	3281
606	2942	3276
607	2946	3271
608	2951	3266
609	2956	3261
610	2960	3256
611	2965	3251
612	2970	3246
613	2974	3241
614	2979	3236
615	2983	3230
616	2988	3225
617	2993	3220
618	2997	3214
619	3001	3209
620	3007	3205
621	3011	3200
622	3016	3195
623	3021	3190
624	3025	3185
625	3030	3180
626	3034	3175
627	3039	3169
628	3043	3164
629	3048	3159
630	3053	3155
631	3058	3150
632	3063	3145
633	3067	3140
634	3072	3135
635	3076	3130
636	3081	3124
637	3085	3119
638	3090	3114
639	3094	3109
640	3099	3104
641	3104	3099
642	3109	3094
643	3114	3089
644	3119	3085
645	3124	3080
646	3128	3075
647	3132	3070
648	3137	3064
649	3142	3060
650	3147	3055
651	3152	3050
652	3157	3045
653	3162	3041
654	3166	3036
655	3172	3031
656	3176	3026
657	3181	3021
658	3186	3016
659	3191	3012
660	3196	3007
661	3201	3002
662	3206	2998
663	3210	2993
664	3216	2988
665	3220	2983
666	3225	2978
667	3229	2973
668	3234	2968
669	3239	2963
670	3243	2958
671	3249	2954
672	3254	2949
673	3258	2944
674	3263	2939
675	3268	2935
676	3273	2929
677	3277	2924
678	3282	2919
679	3286	2914
680	3291	2909
681	3295	2904
682	3300	2899
683	3305	2894
684	3309	2889
685	3314	2884
686	3318	2879
687	3323	2874
688	3328	2869
689	3332	2864
690	3337	2859
691	3342	2854
692	3346	2849
693	3350	2843
694	3355	2838
695	3359	2833
696	3364	2828
697	3369	2823
698	3373	2818
699	3378	2813
700	3383	2808
701	3387	2803
702	3392	2798
703	3396	2793
704	3401	2788
705	3406	2784
706	3411	2779
707	3416	2774
708	3420	2769
709	3425	2764
710	3430	2759
711	3434	2754
712	3438	2749
713	3443	2744
714	3448	2739
715	3453	2734
716	3457	2729
717	3462	2724
718	3467	2719
719	3472	2715
720	3477	2710
721	3481	2705
722	3486	2700
723	3490	2695
724	3495	2690
725	3499	2685
726	3504	2680
727	3508	2674
728	3513	2669
729	3517	2664
730	3522	2659
731	3526	2654
732	3531	2649
733	3535	2644
734	3540	2639
735	3544	2634
736	3549	2629
737	3553	2624
738	3557	2618
739	3562	2614
740	3567	2609
741	3571	2604
742	3576	2599
743	3581	2594
744	3586	2589
745	3590	2584
746	3595	2579
747	3599	2574
748	3604	2569
749	3608	2564
750	3613	2559
751	3618	2554
752	3622	2549
753	3627	2544
754	3631	2539
755	3637	2535
756	3641	2530
757	3646	2525
758	3650	2520
759	3655	2515
760	3660	2510
761	3664	2505
762	3669	2500
763	3674	2495
764	3678	2490
765	3683	2485
766	3687	2480
767	3692	2475
768	3696	2470
769	3701	2465
770	3705	2461
771	3711	2456
772	3715	2451
773	3720	2446
774	3724	2441
775	3728	2436
776	3733	2431
777	3738	2426
778	3743	2422
779	3748	2417
780	3753	2412
781	3758	2407
782	3762	2402
783	3767	2397
784	3772	2392
785	3776	2388
786	3781	2383
787	3786	2378
788	3791	2373
789	3796	2369
790	3800	2364
791	3805	2359
792	3810	2354
793	3815	2349
794	3819	2344
795	3824	2340
796	3829	2335
797	3833	2330
798	3838	2325
799	3843	2320
800	3848	2315
801	3852	2310
802	3857	2305
803	3861	2300
804	3866	2295
805	3871	2291
806	3876	2286
807	3881	2281
808	3885	2276
809	3890	2271
810	3894	2266
811	3900	2262
812	3904	2257
813	3909	2252
814	3913	2247
815	3917	2241
816	3922	2237
817	3926	2232
818	3931	2227
819	3935	2222
820	3940	2217
821	3945	2212
822	3949	2207
823	3953	2202
824	3958	2197
825	3962	2192
826	3967	2187
827	3971	2182
828	3976	2177
829	3980	2172
830	3984	2167
831	3989	2162
832	3993	2157
833	3998	2152
834	4003	2147
835	4007	2142
836	4012	2137
837	4017	2133
838	4021	2128
839	4026	2123
840	4030	2118
841	4035	2113
842	4039	2108
843	4043	2103
844	4047	2098
845	4052	2093
846	4057	2088
847	4061	2083
848	4065	2078
849	4069	2073
850	4074	2068
851	4079	2063
852	4084	2058
853	4088	2053
854	4092	2048
855	4096	2043
856	4101	2038
857	4106	2033
858	4110	2028
859	4115	2024
860	4119	2019
861	4123	2014
862	4128	2009
863	4132	2004
864	4137	1999
865	4142	1994
866	4147	1989
867	4152	1985
868	4156	1980
869	4161	1975
870	4165	1970
871	4170	1965
872	4174	1960
873	4180	1956
874	4184	1951
875	4189	1946
876	4193	1941
877	4197	1936
878	4202	1931
879	4206	1926
880	4211	1921
881	4216	1916
882	4220	1912
883	4224	1906
884	4229	1902
885	4233	1897
886	4238	1892
887	4242	1887
888	4247	1882
889	4251	1877
890	4256	1872
891	4260	1867
892	4265	1862
893	4270	1858
894	4274	1853
895	4278	1848
896	4283	1843
897	4288	1838
898	4292	1833
899	4296	1828
900	4301	1823
901	4305	1818
902	4310	1813
903	4314	1808
904	4319	1804
905	4324	1799
906	4328	1794
907	4333	1789
908	4337	1784
909	4341	1779
910	4346	1774
911	4351	1770
912	4356	1765
913	4361	1760
914	4365	1755
915	4370	1750
916	4374	1745
917	4378	1740
918	4383	1736
919	4388	1731
920	4393	1726
921	4397	1721
922	4401	1716
923	4405	1711
924	4409	1706
925	4414	1702
926	4419	1697
927	4424	1692
928	4428	1687
929	4433	1682
930	4437	1677
931	4441	1672
932	4446	1667
933	4450	1663
934	4455	1658
935	4459	1653
936	4463	1648
937	4468	1643
938	4473	1638
939	4477	1633
940	4482	1629
941	4487	1624
942	4492	1619
943	4496	1614
944	4501	1609
945	4505	1604
946	4509	1600
947	4513	1595
948	4518	1590
949	4522	1585
950	4527	1580
951	4531	1575
952	4535	1570
953	4539	1565
954	4544	1560
955	4549	1556
956	4554	1551
957	4558	1546
958	4562	1541
959	4567	1536
960	4571	1531
961	4575	1526
962	4580	1522
963	4584	1517
964	4589	1512
965	4593	1507
966	4598	1502
967	4602	1497
968	4607	1492
969	4611	1488
970	4615	1483
971	4620	1478
972	4624	1473
973	4629	1468
974	4633	1463
975	4637	1458
976	4642	1454
977	4646	1449
978	4651	1444
979	4655	1439
980	4659	1434
981	4664	1429
982	4668	1424
983	4672	1419
984	4676	1414
985	4681	1410
986	4685	1405
987	4690	1400
988	4694	1395
989	4698	1390
990	4703	1385
991	4707	1380
992	4711	1376
993	4716	1371
994	4720	1366
995	4725	1361
996	4729	1356
997	4734	1352
998	4739	1347
999	4744	1342
1000	4748	1337
1001	4753	1332
1002	4757	1328
1003	4761	1323
1004	4766	1318
1005	4771	1313
1006	4776	1309
1007	4780	1304
1008	4784	1299
1009	4789	1294
1010	4794	1289
1011	4798	1285
1012	4803	1280
1013	4807	1275
1014	4811	1270
1015	4816	1265
1016	4820	1260
1017	4825	1256
1018	4830	1251
1019	4835	1246
1020	4839	1241
1021	4843	1236
1022	4848	1232
1023	4852	1227
1024	4857	1222
1025	4861	1217
1026	4865	1212
1027	4870	1208
1028	4874	1203
1029	4879	1198
1030	4883	1193
1031	4887	1188
1032	4892	1184
1033	4897	1179
1034	4902	1174
1035	4906	1169
1036	4911	1165
1037	4915	1160
1038	4919	1155
1039	4924	1150
1040	4929	1145
1041	4933	1141
1042	4938	1136
1043	4942	1131
1044	4946	1126
1045	4950	1121
1046	4955	1116
1047	4959	1112
1048	4964	1107
1049	4968	1102
1050	4973	1097
1051	4977	1093
1052	4982	1088
1053	4986	1083
1054	4990	1078
1055	4994	1073
1056	4999	1068
1057	5004	1064
1058	5009	1059
1059	5013	1054
1060	5018	1049
1061	5022	1045
1062	5027	1040
1063	5032	1035
1064	5036	1030
1065	5041	1026
1066	5045	1021
1067	5049	1016
1068	5054	1011
1069	5058	1007
1070	5063	1002
1071	5067	997
1072	5072	992
1073	5076	987
1074	5081	983
1075	5085	978
1076	5089	973
1077	5093	968
1078	5097	963
1079	5102	959
1080	5106	954
1081	5111	949
1082	5115	944
1083	5119	939
1084	5124	935
1085	5128	930
1086	5132	925
1087	5137	920
1088	5143	916
1089	5147	911
1090	5151	906
1091	5156	901
1092	5161	897
1093	5165	892
1094	5171	887
1095	5175	883
1096	5179	878
1097	5184	873
1098	5188	868
1099	5192	863
1100	5197	859
1101	5201	854
1102	5206	849
1103	5210	844
1104	5215	840
1105	5219	835
1106	5225	830
1107	5230	826
1108	5234	821
1109	5238	816
1110	5243	811
1111	5247	806
1112	5251	802
1113	5256	797
1114	5261	792
1115	5265	787
1116	5269	783
1117	5274	778
1118	5278	773
1119	5283	768
1120	5287	764
1121	5291	759
1122	5296	754
1123	5300	749
1124	5305	745
1125	5309	740
1126	5313	735
1127	5318	730
1128	5322	726
1129	5327	721
1130	5332	716
1131	5336	711
1132	5341	707
1133	5345	702
1134	5350	697
1135	5354	692
1136	5359	688
1137	5365	683
1138	5369	678
1139	5373	674
1140	5378	669
1141	5382	664
1142	5387	659
1143	5391	655
1144	5395	650
1145	5400	645
1146	5404	640
1147	5408	636
1148	5413	631
1149	5417	626
1150	5422	621
1151	5426	617
1152	5431	612
1153	5436	607
1154	5440	602
1155	5444	598
1156	5449	593
1157	5453	588
1158	5458	583
1159	5462	579
1160	5467	574
1161	5471	569
1162	5476	565
1163	5480	560
1164	5484	555
1165	5489	550
1166	5494	546
1167	5498	541
1168	5503	536
1169	5507	531
1170	5511	527
1171	5516	522
1172	5521	517
1173	5525	513
1174	5530	508
1175	5534	503
1176	5539	498
1177	5543	494
1178	5548	489
1179	5553	484
1180	5557	480
1181	5562	475
1182	5567	470
1183	5571	465
1184	5576	461
1185	5581	456
1186	5585	451
1187	5589	447
1188	5594	442
1189	5599	437
1190	5603	432
1191	5607	428
1192	5611	423
1193	5616	418
1194	5620	413
1195	5624	409
1196	5629	404
1197	5633	399
1198	5638	395
1199	5643	390
1200	5647	385
1201	5651	380
1202	5656	376
1203	5660	371
1204	5664	366
1205	5669	361
1206	5674	357
1207	5679	352
1208	5683	347
1209	5687	343
1210	5692	338
1211	5697	333
1212	5701	329
1213	5706	324
1214	5710	319
1215	5714	314
1216	5719	310
1217	5724	305
1218	5729	300
1219	5733	296
1220	5737	291
1221	5742	286
1222	5746	281
1223	5751	277
1224	5756	272
1225	5760	267
1226	5765	263
1227	5769	258
1228	5774	253
1229	5778	249
1230	5783	244
1231	5787	239
1232	5792	234
1233	5796	230
1234	5801	225
1235	5805	220
1236	5809	216
1237	5814	211
1238	5819	206
1239	5823	201
1240	5827	197
1241	5832	192
1242	5836	187
1243	5841	183
1244	5845	178
1245	5850	173
1246	5854	169
1247	5859	164
1248	5864	159
1249	5868	154
1250	5873	150
1251	5877	145
1252	5881	140
1253	5886	136
1254	5890	131
1255	5895	126
1256	5899	122
1257	5903	117
1258	5907	112
1259	5912	107
1260	5917	103
1261	5922	98
1262	5926	93
1263	5930	89
1264	5935	84
1265	5939	79
1266	5944	75
1267	5948	70
1268	5954	65
1269	5958	60
1270	5963	56
1271	5967	51
1272	5972	46
1273	5976	42
1274	5981	37
1275	5985	32
1276	5990	28
1277	5994	23
1278	5999	18
1279	6003	14
1280	6008	9
1281	6013	4
1282	6018	0
